"convex_id","created_at_ms","category","sub_category","occasion","credit_cost","default_aspect_ratio","default_duration","default_resolution","generate_audio_default","is_active","orientation","preview_url","prompt","scene","tags_csv","tags_json"
,"1763474400297.2058","Classic","Family","christmas","18",,,,,"true","portrait","https://giddy-swan-737.convex.cloud/api/storage/32d88747-c256-4285-9edb-9b4a6d0a77d7","CRITICAL: Preserve the exact facial features, age, hair color, hair style, skin tone, body type, and all physical characteristics of every uploaded person without ANY changes. Face preservation is the absolute priority. 
Show uploaded people unwrapping Christmas gifts together in a warm living room during evening.Background elements: decorated Christmas tree with golden ornaments and white lights, stone fireplace with stockings, wrapped presents in red and gold paper on floor, pine garlands on mantel with candles.Soft string lights on walls, plush rugs, comfortable furniture.Warm 2700K lighting creates cozy glow.People wear casual sweaters or pajamas, showing genuine joy and excitement with wrapping paper around them.Candid moment, shallow depth of field, 8K quality, warm natural tones. 
REMINDER: Keep all uploaded faces and bodies completely unchanged.","tree","classic,family,portrait,tree,evening,elegant,luxury","[""classic"",""family"",""portrait"",""tree"",""evening"",""elegant"",""luxury""]"
,"1763474400297.206","Classic","Couple / Duo","christmas","14",,,,,"true","portrait","https://giddy-swan-737.convex.cloud/api/storage/5d2d4c32-8193-4763-b136-2e7a8d950f96","CRITICAL: Preserve the exact facial features, age, hair color, hair style, skin tone, body type, pose, and all physical characteristics of every uploaded person without ANY changes. Face and identity preservation is the absolute priority. Keep the same number of people and their relative positions in the frame unchanged. 
Edit the uploaded photo to match the 'Grand Evergreen Portrait' Classic Christmas template. Replace the background with: Classic Christmas tree with ornaments and warm bokeh lights in an elegant living room. Use warm practical lighting style. Update outfits only to fit a festive classic Christmas look (sweaters, coats, dresses) while keeping overall realism. Maintain the original camera angle and composition. If additional user preferences are provided, treat them as secondary styling notes (colors, small props, mood) and only apply them when they do not conflict with the template layout or with preserving the subjects. 
 REMINDER: Keep all uploaded faces, bodies, ages, and identities completely unchanged.","tree","classic,couple / duo,portrait,tree","[""classic"",""couple / duo"",""portrait"",""tree""]"
,"1763474400297.2063","Classic","Couple / Dou","christmas","13",,,,,"true","landscape","https://giddy-swan-737.convex.cloud/api/storage/832ce66a-423b-4d1a-96a2-d0aa52438d1f","CRITICAL: Preserve the exact facial features, age, hair color, hair style, skin tone, body type, pose, and all physical characteristics of every uploaded person without ANY changes. Face and identity preservation is the absolute priority. Do not add any new people or faces to the scene. 
Edit the uploaded photo to match the 'Festive Dinner Table' Classic Christmas template. Replace the environment with: Candle-lit elegant dinner table setting with crystal glasses, fine china, red and green festive accents, Christmas centerpiece with pine branches and ornaments. Use warm practical lighting style with soft candlelight glow creating intimate atmosphere. Keep the general framing and orientation of the original photo. Apply shallow depth of field focusing on the subjects. If additional user preferences are provided, apply them only to atmosphere, colors, and small decorative elements without conflicting with the template or subject preservation. 
REMINDER: Keep all uploaded faces, bodies, ages, and identities completely unchanged. Do not add new people.","table","candle,classic,landscape,scene / no people,table","[""candle"",""classic"",""landscape"",""scene / no people"",""table""]"
,"1763474400297.2065","Classic","Card / No people","christmas","12",,,,,"true","portrait","https://giddy-swan-737.convex.cloud/api/storage/8f9799ba-b25a-4b57-8799-03c12946a43f","CRITICAL: Preserve the exact facial features, age, hair color, hair style, skin tone, body type, pose, and all physical characteristics of every uploaded person without ANY changes. Face and identity preservation is the absolute priority. 
 Edit the uploaded image into a polished Christmas greeting card that matches the 'Red & Gold Card' template. Create a clean card layout with: Minimal red and gold decorative border, elegant snowflake accents in corners, ample clear space for greeting text placement. Use warm practical lighting style creating festive glow. Keep uploaded people visible and unchanged while integrating them into the card design. Maintain the overall orientation and composition of the original photo. Apply professional greeting card styling with festive red-gold color palette. If additional user preferences are provided, apply them only to color palette variations, decorative details, or text mood without conflicting with the template design or subject preservation. 
 REMINDER: Keep all uploaded faces, bodies, ages, and identities completely unchanged in the final card design.","tree","card,card / no people,classic,minimal,portrait,snow","[""card"",""card / no people"",""classic"",""minimal"",""portrait"",""snow""]"
,"1763474400297.2068","Cozy","Couple / Duo","christmas","14",,,,,"true","landscape","https://giddy-swan-737.convex.cloud/api/storage/34d7ef5e-5ecd-4ada-b3d8-93349d9d8076","CRITICAL: Preserve the exact facial features, age, hair color, hair style, skin tone, body type, pose, and all physical characteristics of every uploaded person without ANY changes. Face and identity preservation is the absolute priority. Keep the same number of people and their relative positions in the frame unchanged. 
Edit the uploaded photo to match the 'By the Hearth' Cozy Christmas template. Replace the background with: Intimate scene near a crackling stone fireplace with glowing flames, soft knit blankets draped nearby, plush rug on wooden floor, warm amber and orange tones throughout. Use warm practical lighting style with firelight creating soft, romantic glow on subjects. Update outfits only to fit a cozy festive Christmas look (chunky knit sweaters, comfortable loungewear, soft fabrics) while keeping overall realism. Maintain the original camera angle and composition. If additional user preferences are provided, treat them as secondary styling notes (colors, small props, mood) and only apply them when they do not conflict with the template layout or subject preservation. 
REMINDER: Keep all uploaded faces, bodies, ages, and identities completely unchanged.","fireplace","couple,couple / duo,cozy,fireplace,landscape","[""couple"",""couple / duo"",""cozy"",""fireplace"",""landscape""]"
,"1763474400297.207","Cozy","Family / Group","christmas","23",,,,,"true","portrait","https://giddy-swan-737.convex.cloud/api/storage/ab570f87-58fd-42d0-8116-94bf43f89ec4","CRITICAL: Preserve the exact facial features, age, hair color, hair style, skin tone, body type, pose, and all physical characteristics of every uploaded person without ANY changes. Face and identity preservation is the absolute priority. Keep the same number of people and their relative positions in the frame unchanged. 
Edit the uploaded photo to match the 'Choosing the Star' Cozy Christmas template. Replace the background with: Warm living room scene with decorated Christmas tree, parents lifting child to place golden star on top of tree, joyful candid family moment captured. Background shows softly lit room with tree lights twinkling, cozy home atmosphere with warm wood tones and festive decorations. Use warm practical lighting style with soft glow from tree lights and ambient room lighting. Update outfits only to fit a cozy festive Christmas look (comfortable knit sweaters, casual holiday attire) while keeping overall realism. Maintain the original camera angle and composition. Capture expressions of joy, excitement, and family connection. If additional user preferences are provided, treat them as secondary styling notes (colors, small props, mood) and only apply them when they do not conflict with the template layout or subject preservation. 
REMINDER: Keep all uploaded faces, bodies, ages, and identities completely unchanged.","tree","cozy,family / group,portrait,tree","[""cozy"",""family / group"",""portrait"",""tree""]"
,"1763474400297.2073","Cozy","Family / Group","christmas","13",,,,,"true","landscape","https://giddy-swan-737.convex.cloud/api/storage/434360a0-6206-4438-8471-8ace10f35578","CRITICAL: Preserve the exact facial features, age, hair color, hair style, skin tone, body type, pose, and all physical characteristics of every uploaded person without ANY changes. Face and identity preservation is the absolute priority. Keep the same number of people and their relative positions in the frame unchanged. 
Edit the uploaded photo to match the 'Story Time' Cozy Christmas template. Replace the background with: Intimate family scene with parent reading Christmas storybook to children gathered by warm crackling fireplace, cozy living room setting with soft blankets and pillows, gentle rim light creating magical atmosphere. Background shows glowing fireplace, comfortable seating area, subtle Christmas decorations with lighting and luxury decoration, warm wood elements. Use warm practical lighting style with firelight as main source creating soft golden glow and gentle rim lighting on subjects. Update outfits only to fit a cozy festive Christmas look (soft knit sweaters, comfortable pajamas, warm loungewear) while keeping overall realism. Maintain the original camera angle and composition. Capture peaceful, intimate family moment with focus and engagement on storytelling. If additional user preferences are provided, treat them as secondary styling notes (colors, small props, mood) and only apply them when they do not conflict with the template layout or subject preservation. 
REMINDER: Keep all uploaded faces, bodies, ages, and identities completely unchanged.","fireplace","cozy,family / group,fireplace,landscape","[""cozy"",""family / group"",""fireplace"",""landscape""]"
,"1763474400297.2075","Cozy","Couple / Duo","christmas","11",,,,,"true","portrait","https://giddy-swan-737.convex.cloud/api/storage/71c13f0e-1b33-410b-98ae-bea8ac41c5f3","CRITICAL: Preserve the exact facial features, age, hair color, hair style, skin tone, body type, pose, and all physical characteristics of every uploaded person without ANY changes. Face and identity preservation is the absolute priority. Keep the same number of people and their relative positions in the frame unchanged. 
Edit the uploaded photo to match the 'Sweater Weather' Cozy Christmas template. Replace the background with: Romantic intimate scene of couple wrapped together under soft cozy blanket near warm fireplace with glowing embers gently floating in air, decorated Christmas tree with twinkling lights visible in background creating magical ambiance, dim cozy living room with soft bokeh lights from tree ornaments and string lights, stockings hung by fireplace, pine garlands with red berries on mantel, festive holiday decorations throughout. Use warm practical lighting style with firelight and Christmas lights creating golden-orange tones, gentle side lighting highlighting subjects softly. Update outfits only to fit a cozy festive Christmas look (chunky knit sweaters in holiday colors, comfortable layered clothing, warm textures) while keeping overall realism. Maintain the original camera angle and composition. Capture intimate, peaceful Christmas moment with romantic, relaxed holiday atmosphere. The scene should feel warm, dreamy, and tender with soft focus on background elements. If additional user preferences are provided, treat them as secondary styling notes (colors, small props, mood) and only apply them when they do not conflict with the template layout or subject preservation. 
REMINDER: Keep all uploaded faces, bodies, ages, and identities completely unchanged.","fireplace","couple,couple / duo,cozy,portrait,image","[""couple"",""couple / duo"",""cozy"",""portrait"",""image""]"
,"1763474400297.2078","Snowy","Family / Group","christmas","16",,,,,"true","landscape","https://giddy-swan-737.convex.cloud/api/storage/cfd0f1c2-5ec7-4562-81e5-3782d35aa919","CRITICAL: Preserve the exact facial features, age, hair color, hair style, skin tone, body type, and all physical characteristics of every uploaded person without ANY changes. Face preservation is the absolute priority. 
Show uploaded people building a snowman together in fresh snow outdoors during daytime. Background: gentle snowfall, snow-covered evergreen trees, soft natural winter light. Snowman is partially built with coal buttons, carrot nose, and stick arms nearby. People wear colorful winter coats, scarves, knitted hats, and gloves, actively rolling snowballs or decorating snowman. Happy, playful expressions. Cool blue-white winter atmosphere with colorful clothing accents. 8K quality, vibrant colors, crisp focus. 
REMINDER: Keep all uploaded faces and bodies completely unchanged.","outdoor","family,family / group,landscape,snow,snowy","[""family"",""family / group"",""landscape"",""snow"",""snowy""]"
,"1763474400297.208","Snowy","Couple / Duo","christmas","15",,,,,"true","landscape","https://giddy-swan-737.convex.cloud/api/storage/39c7cc1a-40df-4718-9dea-9ef4dcb89346","CRITICAL: Preserve the exact facial features, age, hair color, hair style, skin tone, body type, pose, and all physical characteristics of every uploaded person without ANY changes. Face and identity preservation is the absolute priority. Keep the same number of people and their relative positions in the frame unchanged. 
Edit the uploaded photo to match the 'Sledding Hill' Snowy Christmas template. Replace the background with: Dynamic winter scene on snowy hillside slope with people on sleds captured mid-descent, pristine white snow covering rolling hills, snow-covered evergreen trees lining the slope, dramatic golden-hour sunset sky with pink and orange hues painting clouds, motion blur effect on snow spray and sled movement creating sense of speed and excitement, crisp winter air atmosphere with visible breath vapor, snow particles kicked up during sledding. Use natural ambient lighting style with warm sunset glow illuminating subjects from side, golden light creating long shadows on snow, cool blue tones in shadowed snow areas contrasting with warm sunset colors. Update outfits only to fit a festive snowy Christmas look (bright colorful winter coats, knit scarves, warm hats with pom-poms, insulated snow pants, winter gloves) while keeping overall realism. Maintain the original camera angle and composition. Capture joyful, exhilarating moment of winter fun with dynamic energy and movement. The scene should feel crisp, magical, and full of holiday adventure with professional action photography quality. If additional user preferences are provided, treat them as secondary styling notes (colors, small props, mood) and only apply them when they do not conflict with the template layout or subject preservation. 
REMINDER: Keep all uploaded faces, bodies, ages, and identities completely unchanged.","outdoor","couple / duo,landscape,snowy","[""couple / duo"",""landscape"",""snowy""]"
